id,followers_count,friends_count,hashtag_count,pronouns_count,emotions_count,words_tweet,unique_words_tweet,NNP_tags,PRP_tags,No_freq_terms,Yes_freq_terms,auto_Yes_freq_terms,auto_No_freq_terms,twitter_client,user_id,wv_d0,wv_d1,wv_d2,wv_d3,wv_d4,wv_d5,wv_d6,wv_d7,wv_d8,wv_d9,wv_d10,wv_d11,wv_d12,wv_d13,wv_d14,wv_d15,wv_d16,wv_d17,wv_d18,wv_d19,wv_d20,wv_d21,wv_d22,wv_d23,wv_d24,wv_d25,wv_d26,wv_d27,wv_d28,wv_d29,wv_d30,wv_d31,wv_d32,wv_d33,wv_d34,wv_d35,wv_d36,wv_d37,wv_d38,wv_d39,wv_d40,wv_d41,wv_d42,wv_d43,wv_d44,wv_d45,wv_d46,wv_d47,wv_d48,wv_d49,wv_d50,wv_d51,wv_d52,wv_d53,wv_d54,wv_d55,wv_d56,wv_d57,wv_d58,wv_d59,wv_d60,wv_d61,wv_d62,wv_d63,wv_d64,wv_d65,wv_d66,wv_d67,wv_d68,wv_d69,wv_d70,wv_d71,wv_d72,wv_d73,wv_d74,wv_d75,wv_d76,wv_d77,wv_d78,wv_d79,wv_d80,wv_d81,wv_d82,wv_d83,wv_d84,wv_d85,wv_d86,wv_d87,wv_d88,wv_d89,wv_d90,wv_d91,wv_d92,wv_d93,wv_d94,wv_d95,wv_d96,wv_d97,wv_d98,wv_d99,wv_d100,wv_d101,wv_d102,wv_d103,wv_d104,wv_d105,wv_d106,wv_d107,wv_d108,wv_d109,wv_d110,wv_d111,wv_d112,wv_d113,wv_d114,wv_d115,wv_d116,wv_d117,wv_d118,wv_d119,wv_d120,wv_d121,wv_d122,wv_d123,wv_d124,wv_d125,wv_d126,wv_d127,class
'469637073130237952,100,116,0,0,0,22,22,1,3,0,1,0,0,0,0,-0.0519165333333,-0.045894,-0.0380159333333,0.0605673,0.0322925,0.0410219666667,-0.0117950233333,-0.0496634,-0.020297,-0.0294858666667,0.00562522,-0.0869629,-0.0859641666667,0.0461888666667,-0.0466260333333,0.0482873666667,0.0474111966667,0.033859,-0.0159014,-0.0156147,0.0700306833333,0.0780186666667,0.0467070666667,-0.0296262666667,0.0828135333333,-0.0467795333333,0.00881326,-0.10107148,0.0137421,-0.0100334733333,-0.0814130666667,0.0143599633333,0.0293829,-0.0443230666667,0.0313264333333,0.0679237333333,-0.00865555,-0.0908428666667,-0.0541148666667,-0.0720799333333,0.0484485333333,-0.0244865333333,-0.0254300333333,0.0171173933333,3.336e-05,0.00704993333333,-0.0276568666667,0.0288797666667,-0.0793824,-0.0448973666667,0.0224283333333,0.0304348333333,-0.0671437666667,-0.0261355,-0.0177712566667,0.01506451,-0.0799906,-0.0251084666667,-0.0550428,-0.00169573333333,0.0694049333333,-0.00423836666667,-0.00133883333333,-0.0635395,0.0103741,-0.108737413333,0.0594952533333,-0.0361828066667,0.00295729333333,-0.0569560133333,-0.0441831,0.0238500666667,0.133958666667,0.0303998,-0.0567856,-0.01746402,0.0640348,-0.0125774,0.0716006333333,0.0374776,-0.0384793066667,-0.0101174666667,0.0186234,-0.0475236,0.0128001933333,-0.0154251733333,-0.103365,0.0393311333333,-0.0281430666667,-0.0208676666667,0.0166890666667,-0.00534056666667,-0.01805041,0.079264,0.0272015033333,-0.0254466666667,-0.0371039766667,-0.0876458666667,0.0181233533333,-0.109799966667,-0.0151172233333,0.0577186666667,-0.0494704,-0.007436,-0.0429932,0.05316833,-0.00717164333333,-0.0812356366667,0.0237780866667,0.0389253333333,-0.00755226666667,-0.0561396,-0.000822563333333,-0.0114714333333,-0.0274943333333,0.0529350666667,-0.0611070666667,0.0262949,-0.0135062133333,-0.0159673333333,-0.00936073333333,-0.0871827,-0.0530550666667,0.0811142333333,-0.0451342433333,-0.105664833333,-0.0180859573333,0.0947727666667,Unsure
'469651157984354307,441,490,0,0,0,19,19,0,3,0,1,0,0,1,1,-0.237316,0.0759454,-0.0658054,-0.0178949,0.15666,-0.0995988,0.0824194,0.0151469,0.077492,0.0985376,-0.0183669,0.0520031,0.0209051,0.14588,0.00118185,0.0301483,-0.0866852,0.0497351,-0.146156,0.029337,-0.111302,0.0460538,0.0792404,-0.0461821,0.0564775,-0.136657,0.0209638,0.0427195,0.0359728,0.0171064,-0.0803401,-0.00782323,0.0814584,0.108726,-0.100065,0.0107765,0.00134358,-0.0812818,0.00613422,0.128833,-0.233535,0.0146297,-0.135699,0.0719329,-0.0145024,0.10008,-0.0728536,-0.160775,-0.152674,-0.0178339,0.078883,0.0151606,0.18157,0.0891788,-0.0184702,-0.0306248,0.0732944,-0.0409194,-0.00899797,-0.158646,-0.041138,-0.0220769,0.0313036,0.032632,-0.0700991,-0.096203,0.0821425,-0.0710601,0.223143,-0.0119615,0.00548781,0.0187724,0.0148733,-0.120682,-0.0462471,-0.0407202,-0.0835353,-0.0852201,-0.124168,-0.039485,-0.060417,0.0793508,-0.0863106,-0.0897778,-0.061894,-0.0402737,0.12331,0.0485848,0.13169,0.0789554,-0.0598482,-0.0514055,0.0421335,-0.00253694,-0.131467,-0.0234389,0.19297,-0.126372,-0.0919811,-0.0582053,-0.0061207,-0.11699,-0.0393563,0.0215208,0.0822422,0.0207996,-0.156145,0.0730537,-0.0358046,0.126908,-0.0662386,0.11257,0.0931843,-0.0569516,0.0896677,0.030392,-0.134356,0.0899927,0.0758033,0.00944877,-0.119596,-0.00448401,0.0586109,0.0657295,-0.0565469,-0.0612321,0.150732,-0.0438972,Unsure
'469652070140633088,157,131,0,0,0,21,16,2,3,0,2,0,0,1,2,0.054646,-0.0197755625,-0.0447691,0.001412965,0.0176209,0.010127765,-0.021038025,0.01028625,0.000402675,-0.005000325,-0.0364783875,-0.0650184725,-0.061879275,-0.034321175,-0.066007825,-0.0384341,0.088934925,0.0198672,0.043337025,-0.036195475,-0.0306359,0.029022635,-0.065189675,-0.022724375,-0.0068060575,-0.07337965,0.0252449725,-0.073198225,0.0202174675,0.01662852,0.017548425,0.04285325,-0.046348,-0.092587875,0.003439675,-0.043948175,0.003083825,-0.020185975,-0.068408675,-0.02337595,-0.0616462175,-0.024536225,-0.06369526,0.04865685,-0.0048868725,0.088132925,-0.02002435,-0.0009996925,-0.02028445,-0.024188925,0.050736545,-0.01227465,-0.010208725,-0.029855265,-0.0222541,-0.07245445,-0.0082485,0.0468672,0.11345015,-0.0888742,-0.036597425,0.0325749,-0.0095406,0.0059832,-0.040520025,-0.03921995,-0.0217353575,0.072848125,-0.0061772925,0.029934225,-0.010388455,0.07651405,-0.07618645,-0.1053329325,-0.00187265,-0.000470555,0.02931095225,-0.035342175,-0.105717675,0.0327281,-0.005538275,0.00307998,0.051227175,0.0246124175,0.084214425,-0.0159484475,0.006896725,-0.033157625,0.020917875,-0.068860325,0.00958897,0.047813625,0.033783255,-0.0066741,0.0301808,0.0090004,-0.06979675,-0.037153,0.0612292375,0.0798951175,0.028498125,-0.0537247225,-0.032477065,0.034166035,0.015590525,0.086723175,0.041816075,-0.009064975,0.030940725,-0.02179743,0.072070875,-0.025981775,0.064598275,-0.067747275,0.075510975,-0.118668,0.0301672575,0.070118275,0.0747827575,0.03475511925,0.02943085,-0.018741925,0.011183275,-0.0044181,-0.02525004,-0.127212575,0.04405945,-0.04437265,Unsure
'469655026840141824,154,74,1,0,0,7,7,0,0,0,0,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unsure
'469662331958329344,361,330,0,0,0,9,9,1,0,0,0,0,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unsure
'469663772248772608,264,107,0,0,0,30,25,3,3,0,2,0,0,1,5,-0.0036548475,0.01588042075,0.0091496,-0.0216456,0.02013475,-0.035135975,-0.030297825,-0.016329105,-0.00031386,-0.029106825,-0.05009481,-0.080647125,0.003539925,-0.00477375,-0.0429358425,-0.0125772770825,0.049247625,0.0621781,-0.01348528275,-0.064309625,0.0037164125,0.067255425,-0.010462575,0.044563,0.03352455,-0.05740335,-0.0547706325,0.041426125,-0.0510121,0.018590445,-0.035150225,0.0810248725,-0.01012895,-0.052216925,0.08711675,-0.0160810725,-0.062078775,0.025141625,-0.022858725,-0.080095325,0.007836775,-0.005428125,-0.044005,-0.0147614,-0.0057920025,0.10820875,-0.00453665,0.03292133,-0.05902545,-0.001306975,0.035123675,-0.0813841,-0.093931995,-0.010519715,-0.0692726175,0.0379656,-0.0167251,0.002899325,0.0245863875,0.003276725,0.071398275,-0.002989975,0.028976375,-0.01631755,-0.0206871,-0.0695385325,-0.097613935,0.014956895,0.02496485,0.00855105,0.0221427,-0.01793175,-0.002753075,-0.04581905,0.021467,0.01141382,0.051688625,-0.05041705,-0.032063325,0.0090036,-0.0458658,0.02158776,0.0514068,-0.003194925,0.04273321,-0.0232611775,-0.08996775,-0.05611675,0.002363325,-0.037557375,0.0091523025,0.0334406,-0.041938845,0.016364115,0.0073118,0.0959301,-0.06470595,-0.055616175,0.09039134,-0.0668872,0.014156425,0.001547475,-0.063369715,-0.036774875,-0.072773075,0.0457878725,0.0076543,-0.06185481,-0.082943525,0.029440375,-0.02608315,0.027142625,0.011463025,-0.06252485,0.019807525,0.07480525,-0.084327925,-0.04511589,0.0463156,-0.0150996,0.10253305,-0.03852435,0.014941,0.0636031475,-0.004026395,-0.027293775,0.047895435,-0.005688325,Unsure
'469664248088383488,5191,1379,0,0,0,26,25,2,0,1,0,0,0,3,6,0.0820757,0.0313877,0.0491359,0.0938691,-0.134335,-0.0936209,0.112475,0.0567314,0.027518,-0.0369965,-0.0521622,0.00532146,0.00314292,0.0976914,0.0196309,0.0534482,0.110515,0.0589988,0.0533224,0.249497,0.0123622,-0.108542,0.0152497,-0.0479185,0.0360849,0.173029,0.0293491,0.160531,-0.158749,0.0139355,-0.073594,-0.0349061,0.00720286,0.030439,0.0565344,0.0237425,0.0879556,-0.0665105,0.0950233,-0.141778,0.0658563,-0.0869666,-0.111872,-0.00938972,0.102659,0.0997831,-0.167984,-0.134476,-0.00374059,-0.160525,0.0484351,0.0164182,0.183819,0.0575978,0.10143,-0.265809,-0.0513512,0.0446032,-0.0933476,-0.00229382,0.158239,0.0629333,-0.0965489,-0.0472822,0.0860075,0.0170979,-0.0047264,-0.0651425,0.179301,0.0112667,0.0690518,0.122765,0.0729994,-0.085201,0.0117912,0.108846,0.0484727,0.0382635,0.0556429,0.100917,0.0343972,-0.21157,0.0887996,-0.0412121,0.04486,0.0500644,-0.0520059,0.0643182,-0.0440531,-0.166622,-0.0176916,-0.0639687,-0.0386867,-0.00354918,0.0530629,0.0316928,-0.0651783,0.0626575,0.0351218,-0.0779288,0.0149593,0.0049446,0.131307,0.0823936,0.00421244,-0.0706815,-0.0124458,0.048517,-0.104989,0.101611,-0.118649,0.0374115,-0.136746,0.042156,0.0266215,-0.1035,0.00983272,0.0454201,-0.00799413,0.0920068,0.102587,-0.172327,-0.102757,-0.0444228,-0.00437747,0.0195572,0.0769694,-0.00556707,Unsure
'469667375995174912,438,500,0,0,0,7,7,2,1,0,0,0,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unsure
'469669333921447936,50,46,0,0,0,9,8,3,1,0,2,0,0,4,8,-0.0764139,-0.0704149,0.0154296,-0.0028993,0.0175837,0.02892875,-0.02526835,-0.0316737,-0.07540165,-0.03076295,-0.00037805,-0.0681120263,-0.0750027,-0.03425345,0.0177691,0.040715615,0.021807,0.04793115,0.06848135,-0.0711222,0.041131125,0.0414111,-0.00474,-0.0505729,0.005533,-0.0237836,-0.09883921,-0.0269322,-0.098995205,0.01891029,-0.08384895,0.043071295,-0.04697435,-0.04311705,0.02791944,-0.01521245,-0.01071945,-0.0635806,-0.188154,-0.10021395,0.05936225,0.1186666,-0.0166397,0.107515,-0.03958896,-0.00163415,0.00518545,0.02651405,-0.048296225,-0.00655098,-0.0146541,-0.0655524,-0.1350242,-0.0496245845,0.009719015,-0.0747636,-0.01476555,-0.0362922,-0.0632789,-0.0587735,0.10352445,-0.10620775,0.0433904,-0.09154805,-0.13205275,-0.064336,-7.38e-05,-0.02599011,-0.04241055,-0.0466566,-0.0812565,-0.0630516,0.01637765,0.0789437,0.03271575,-0.0391425,0.0080435,-0.03999985,0.05574995,0.04201885,-0.0562244,-0.0595574,-0.02816235,-0.0919363,-0.003935945,0.00765544,-0.182424,-0.03032015,-0.0722974,0.06153775,-0.001836155,-0.0302006,0.0085935,0.03566,-0.0773924,0.10670235,-0.02659835,-0.03862755,0.08517163,-0.0072305,-0.1109955,0.06044625,-0.0495383,-0.0501889,0.04528135,0.07832105,0.0193685,-0.050662,-0.1026807,0.0205322,0.00806185,-0.0459293,-0.0252796,-0.04872285,-0.01831885,0.0265814,-0.13753115,-0.09174195,0.0316215,-0.0671654,0.14088035,-0.10711325,-0.0544147,0.01547665,-0.024551415,-0.0060565,0.07839032,0.02928125,Unsure
'469669346906632195,35,283,0,0,0,21,21,13,0,0,0,0,0,5,9,-0.0101494,0.0794743,-0.0464707,0.022853,-0.126448,0.0157609,-0.114852,-0.0516374,0.0489111,-0.0421455,-0.0462177,0.0910962,-0.0212161,0.032927,0.0152812,0.101228,0.129012,0.0223331,0.300899,0.0527855,-0.0311345,0.0478642,-0.0793885,-0.00244203,-0.00541623,0.0728344,0.0141427,0.0758977,-0.0638236,0.0386847,-0.0916073,0.0841281,-0.0318339,-0.0664174,0.0520232,0.190335,-0.0269112,0.0191114,0.0225498,0.0646607,-0.00732862,0.130618,-0.160934,-0.00412681,0.0493917,-0.048001,0.0858833,-0.0671389,0.00923952,0.0467427,-0.142127,-0.0727391,0.046794,-0.141353,0.015771,0.0109304,0.0693159,0.0813594,0.101803,0.106777,-0.0849941,-0.0171896,-0.0252485,0.00321592,0.0996233,-0.012764,-0.0231575,-0.0262684,0.0471701,0.225715,-0.0140628,-0.186989,0.0942581,-0.149182,-0.077229,-0.0853055,-0.104264,-0.0240069,0.0964123,0.0171746,-0.0159547,-0.0306547,-0.0225971,-0.0201326,-0.188351,0.0659143,-0.189855,0.0883142,0.0589341,-0.109711,-0.0490287,0.0915261,-0.0254086,-0.0243423,-0.0416395,-0.0909866,-0.127796,-0.139362,-0.0493202,0.0228878,0.170625,0.0839344,0.116533,-0.0531808,-0.0438794,-0.034255,0.0254777,0.0273302,-0.0261913,0.122765,-0.0293965,-0.106212,-0.0611732,0.0443848,0.116357,0.163687,0.0116876,-0.0617649,0.0111863,0.146571,0.0689181,0.0121217,-0.16101,0.0694292,0.0318457,-0.155527,-0.0726077,-0.169067,Unsure
